port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
99,368,368,4170962,35051,35385,42343,42443,6.958000,7.292000
99,319,319,413f962,31051,31385,48098,48198,16.713000,17.047000
99,112,112,4070963,41051,41385,65382,65481,23.997000,24.331000
99,244,244,40f4961,50051,50377,71202,71302,20.825000,21.151000
99,226,226,40e2961,61051,61377,82819,82919,21.442000,21.768000
99,43,43,402b960,76051,76385,88737,88837,12.352000,12.686000
99,85,85,4055960,77051,77385,93229,93329,15.844000,16.178000
99,19,19,4013962,88051,88385,98066,98166,9.681000,10.015000
99,245,245,40f5962,94051,94385,102464,102564,8.079000,8.413000
99,91,91,405b963,128051,128384,136881,136981,8.497000,8.830000
99,38,38,4026960,101051,101385,142465,142565,41.080000,41.414000
99,146,146,4092961,130051,130384,147316,147416,16.932000,17.265000
99,200,200,40c8963,134051,134385,155356,155456,20.971000,21.305000
99,382,382,417e961,152051,152385,164768,164868,12.383000,12.717000
99,206,206,40ce962,161051,161385,173440,173540,12.055000,12.389000
99,127,127,407f960,162051,162385,177984,178084,15.599000,15.933000
99,314,314,413a960,179051,179385,191113,191213,11.728000,12.062000
99,337,337,4151963,200051,200385,209027,209127,8.642000,8.976000
99,73,73,4049962,189051,189385,229564,229664,40.179000,40.513000
99,22,22,4016963,226051,226385,234487,234587,8.102000,8.436000
99,280,280,4118963,244051,244385,253029,253129,8.644000,8.978000
99,145,145,4091961,273051,273385,281895,281995,8.510000,8.844000
99,7,7,4007960,271051,271385,286427,286527,15.042000,15.376000
99,197,197,40c5963,316051,316377,324948,325048,8.571000,8.897000
99,331,331,414b960,306051,306385,341575,341675,35.190000,35.524000
99,292,292,4124961,359051,359377,391484,391584,32.107000,32.433000
99,128,128,4080961,311051,311385,400946,401046,89.561000,89.895000
99,349,349,415d963,419051,419377,431385,431485,12.008000,12.334000
99,142,142,408e961,517050,517385,535302,535402,17.917000,18.252000
