source_file,row_count,sha256,final_path,final_sha256,classification,acceptance_rule,upstream_source_path
64/01_ur/throughput_all_accepted.csv,90,bc1122a9cd729fb03857978057234fc6d3aea2532854be0f2daa008aa0bff85e,,,accepted_throughput,"PASS, zero missing/unexpected/timeout, injected equals delivered; saturation remains throughput-only",DATE paper\experiments\raw\paper64\cohort64_20260916_083441\ur_acceptance.csv
64/02_benchmarks/bc_hotspot_all_accepted.csv,120,a87e66c171637d5ab3698512be64d1f99dca180af4e285ea3c401ca0f8ea4e00,,,accepted_full_drain,PASS + SDF + trace pairing + full drain + complete cohort,DATE paper\experiments\raw\paper64\cohort64_20260916_083441\bc_hotspot_acceptance.csv
64/03_static4/static4_paper_points.csv,3,2536c657017d5c4fcd5d0d50ff45d857f63e7fd4094ef5829fa09b105351d599,,,paper_points,"M5/M100/M420 only; PASS, paired trace, zero SDF errors, 55k/55k, full cohort, backlog=4",DATE paper\experiments\raw\paper64\compact64_20260916_193802\static_acceptance.csv
64/04_multicast/clean_fanout_400tx.csv,8,94d2113fdc79e4e218aa5cb32370f8dc2aa9a87d6cd3fbdf91f74b6ac88720cc,,,clean_full_drain,"F2/F16/F32; Native/Repeated paired; 400/400, backlog=0, SDF and full-drain PASS; censored excluded",DATE paper\experiments\raw\paper64\compact64_20260916_193802\multicast_acceptance.csv
64/05_ppa_power/network_power_async_accepted.csv,8,519cf8182cb13f60e4d266e77c855cb8cf9b673f78dfd752205a117fc1248193,,,async_ptpx_accepted,"pass=true, nonzero total power, and nonzero flit or multicast-delivery denominator",DATE paper\experiments\raw\paper64\compact64_20260916_193802\network_power_acceptance.csv
64/05_ppa_power/table64_i_network.csv,5,7d504e13c7f01dafb6559043c74cae8c6a7ac533f68a1f73c9d6a9504ff49344,,,paper_table,Latest final compact64 table; Sync row carries pre-CTS clock caveat,DATE paper\experiments\raw\paper64\compact64_20260916_193802\table64-i-network.csv
64/06_router/router_lane_scaling.csv,3,4e4f1f24a93ecd0e93e497ccc0cc0480ad6ac1e50f8202d2af8350c7d050796a,,,accepted_async_only,Async c1p1/c1p2/c1p4 MAXIMUM-SDF aggregates; failed Sync aggregate row excluded,DATE paper\experiments\raw\paper64\compact64_20260916_193802\table64-ii-router.csv
64/07_sync_b8/power_accepted.csv,2,35eded2d81f270d6eacf867707553c5b8c474bf6deea8888aca9ce18b2092c79,,,post_synthesis_pre_cts_ptpx,PT-PX pass with nonzero report/denominator; pre-CTS explicitly caveated,DATE paper\experiments\raw\paper64\compact64_20260916_193802\sync64_power_acceptance.csv
64/07_sync_b8/ur_all_full_drain.csv,30,4f6bc545da740fda310073e6a6218b9be87062f9898778c6d6ad6b110a003918,,,full_drain,30/30 full drain; 10k packets/50k cohort flits; 55k/55k,DATE paper\experiments\raw\paper64\compact64_20260916_193802\sync64_ur_acceptance.csv
64/07_sync_b8/ur_pre_saturation_latency.csv,19,77efef5d12dfa16d9979d0b4bc12cb929b17a8cd7a721ac450d8d0f71f769686,,,latency_eligible,full-drain points + near_lossless + paper_latency_eligible,DATE paper\experiments\raw\paper64\compact64_20260916_193802\sync64_ur_acceptance.csv
excluded_cases.csv,78,f6556a15af0c276b8786117664513ef880f1599726fc21aba90eab4bfd47630c,,,validated audit input,copied from validated bundle,
