design,design_label,netlist_run_id,gls_run_id,load_setpoint_mflit_per_port_s,injected_flits,delivered_flits,missing,unexpected,timeout,offered_mflit_per_port_s,delivered_mflit_per_port_s,backlog,flit_latency_mean_ns,flit_latency_p50_ns,flit_latency_p95_ns,flit_latency_p99_ns,pass_fail,case
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,100,55000,55000,0,0,0,75.731873,75.7243,4,10.325957,8.3,23.9,35.3,PASS,TOPO-UR_n64_s202701_m100_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,120,55000,55000,0,0,0,86.892448,86.883759,4,11.343857,8.5,26.9,41.0,PASS,TOPO-UR_n64_s202701_m120_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,140,55000,55000,0,0,0,102.660972,102.650706,4,12.03358,9.2,29.0,44.4,PASS,TOPO-UR_n64_s202701_m140_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,160,55000,55000,0,0,0,127.03252,127.019817,4,14.097892,10.5,36.9,57.3,PASS,TOPO-UR_n64_s202701_m160_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,180,55000,55000,0,0,0,144.568838,144.554381,4,14.763983,11.2,37.3,58.1,PASS,TOPO-UR_n64_s202701_m180_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,200,55000,55000,0,0,0,153.607943,153.558789,8,15.725417,11.8,40.6,61.2,PASS,TOPO-UR_n64_s202701_m200_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,220,55000,55000,0,0,0,168.518119,168.484415,7,17.792478,13.1,48.4,76.6,PASS,TOPO-UR_n64_s202701_m220_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,240,55000,55000,0,0,0,177.315025,177.297293,4,20.440244,14.9,54.6,86.9,PASS,TOPO-UR_n64_s202701_m240_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,260,55000,55000,0,0,0,204.141625,204.121211,4,21.799103,15.8,59.5,96.9,PASS,TOPO-UR_n64_s202701_m260_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,280,55000,55000,0,0,0,199.247641,199.227716,4,24.907749,18.3,67.3,102.7,PASS,TOPO-UR_n64_s202701_m280_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,300,55000,55000,0,0,0,226.383657,226.361019,4,28.379801,21.2,74.9,113.5,PASS,TOPO-UR_n64_s202701_m300_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,320,55000,55000,0,0,0,236.384266,236.360628,4,33.723324,24.4,94.8,144.1,PASS,TOPO-UR_n64_s202701_m320_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,340,55000,55000,0,0,0,230.729474,230.706401,4,38.720616,28.4,109.2,165.3,PASS,TOPO-UR_n64_s202701_m340_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,360,55000,55000,0,0,0,266.729259,266.702586,4,54.103523,38.2,158.3,261.7,PASS,TOPO-UR_n64_s202701_m360_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,380,55000,55000,0,0,0,276.646601,276.591271,6,50.393509,38.8,133.5,182.9,PASS,TOPO-UR_n64_s202701_m380_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,400,55000,55000,0,0,0,289.030707,288.926656,17,80.918216,58.0,243.4,345.3,PASS,TOPO-UR_n64_s202701_m400_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,420,55000,55000,0,0,0,302.224371,302.194149,4,95.06929,71.4,267.9,357.0,PASS,TOPO-UR_n64_s202701_m420_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,440,55000,55000,0,0,0,346.298759,345.474568,97,134.861465,110.5,336.6,468.3,PASS,TOPO-UR_n64_s202701_m440_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,460,55000,55000,0,0,0,335.012864,334.490244,72,183.326343,152.8,445.4,573.0,PASS,TOPO-UR_n64_s202701_m460_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,480,55000,55000,0,0,0,350.650808,348.974697,208,187.201651,160.7,419.0,567.3,PASS,TOPO-UR_n64_s202701_m480_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,500,55000,55000,0,0,0,369.910038,362.844756,835,204.511665,166.6,512.9,616.5,PASS,TOPO-UR_n64_s202701_m500_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,600,55000,55000,0,0,0,422.983216,379.195994,4776,324.753144,312.6,645.4,744.0,PASS,TOPO-UR_n64_s202701_m600_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,700,55000,55000,0,0,0,547.477225,370.532586,15601,346.453261,346.5,628.2,702.7,PASS,TOPO-UR_n64_s202701_m700_PROP_temp64_top16
PROP_temp64,PROP_temp64 DEL050,20260913_prop_temp64_asap_uc_m5_200,20260913_prop_temp64_asap_uc_m5_500,800,55000,55000,0,0,0,604.215004,355.858469,19978,376.233479,375.1,664.9,756.7,PASS,TOPO-UR_n64_s202701_m800_PROP_temp64_top16
