port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
32,9130,9130,63aa941,2442446,2442780,2458144,2458244,15.364000,15.698000
33,224,224,40e0941,71051,71377,76095,76195,4.718000,5.044000
33,2391,2391,4957940,70051,70377,91810,91910,21.433000,21.759000
33,2021,2021,47e5942,125051,125377,146243,146343,20.866000,21.192000
33,261,261,4105941,119051,119377,163920,164020,44.543000,44.869000
33,856,856,4358941,180783,181117,197211,197311,16.094000,16.428000
33,11,11,400b943,183051,183385,202740,202840,19.355000,19.689000
33,734,734,42de942,220051,220377,239284,239384,18.907000,19.233000
33,478,478,41de942,281051,281377,290111,290211,8.734000,9.060000
33,3430,3430,4d66941,299395,299721,323849,323949,24.128000,24.454000
33,1002,1002,43ea940,319051,319385,328039,328139,8.654000,8.988000
33,2094,2094,482e941,325051,325385,338927,339027,13.542000,13.876000
33,1156,1156,4484940,397051,397377,409963,410063,12.586000,12.912000
33,4898,4898,5322943,416051,416385,447039,447139,30.654000,30.988000
33,2087,2087,4827943,453051,453385,459025,459125,5.640000,5.974000
33,1856,1856,4740943,512050,512377,524231,524331,11.854000,12.181000
33,2536,2536,49e8943,489051,489385,529747,529847,40.362000,40.696000
33,4478,4478,517e943,521049,521382,535088,535188,13.706000,14.039000
33,2421,2421,4975940,508051,508385,555331,555431,46.946000,47.280000
33,2347,2347,492b942,565051,565377,582498,582598,17.121000,17.447000
33,4491,4491,518b941,571051,571377,586686,586786,15.309000,15.635000
33,5111,5111,53f7941,627051,627377,642590,642690,15.213000,15.539000
33,3330,3330,4d02941,627337,627663,675233,675333,47.570000,47.896000
33,5766,5766,5686940,883051,883385,924149,924249,40.764000,41.098000
33,3335,3335,4d07943,917300,917634,937553,937653,19.919000,20.253000
33,6537,6537,5989940,912051,912377,989749,989849,77.372000,77.698000
33,6937,6937,5b19940,970051,970377,1000737,1000837,30.360000,30.686000
33,5918,5918,571e941,936852,937186,1005300,1005400,68.114000,68.448000
33,8808,8808,6268943,973051,973385,1009419,1009519,36.034000,36.368000
33,8485,8485,6125942,998051,998385,1021740,1021840,23.355000,23.689000
33,6239,6239,585f942,1052051,1052385,1089496,1089596,37.111000,37.445000
33,8593,8593,6191942,1077051,1077377,1156459,1156559,79.082000,79.408000
33,4604,4604,51fc941,1194051,1194377,1223086,1223186,28.709000,29.035000
33,6423,6423,5917942,1211051,1211385,1239500,1239600,28.115000,28.449000
33,6093,6093,57cd941,1222409,1222743,1273702,1273802,50.959000,51.293000
33,4697,4697,5259941,1285051,1285385,1313122,1313222,27.737000,28.071000
33,6633,6633,59e9941,1262118,1262444,1344874,1344974,82.430000,82.756000
