port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
50,415,415,419f942,215051,215377,227198,227298,11.821000,12.147000
50,1147,1147,447b943,284042,284376,296254,296354,11.878000,12.212000
50,1516,1516,45ec940,294051,294385,309437,309537,15.052000,15.386000
50,3039,3039,4bdf943,331031,331357,349422,349522,18.065000,18.391000
50,1475,1475,45c3942,335318,335652,382909,383009,47.257000,47.591000
50,1580,1580,462c940,364058,364392,389756,389856,25.364000,25.698000
50,3050,3050,4bea942,444751,445077,487613,487713,42.536000,42.862000
50,2674,2674,4a72942,497051,497385,518018,518117,20.633000,20.967000
50,4727,4727,5277942,620051,620377,646877,646977,26.500000,26.826000
50,4754,4754,5292941,728051,728385,824299,824399,95.914000,96.248000
50,4553,4553,51c9942,801844,802178,895754,895854,93.576000,93.910000
50,4601,4601,51f9941,891051,891377,901473,901573,10.096000,10.422000
50,5181,5181,543d940,965051,965385,980912,981012,15.527000,15.861000
50,7467,7467,5d2b942,970051,970385,986631,986731,16.246000,16.580000
50,5959,5959,5747941,996051,996385,1004944,1005044,8.559000,8.893000
50,4657,4657,5231942,1009051,1009377,1044455,1044556,35.078000,35.404000
50,10046,10046,673e942,1086051,1086385,1133754,1133854,47.369000,47.703000
50,6892,6892,5aec943,976990,977316,1169460,1169560,192.144000,192.470000
50,5793,5793,56a1941,1064051,1064377,1174323,1174423,109.946000,110.272000
50,4324,4324,50e4941,1162051,1162385,1178887,1178987,16.502000,16.836000
50,6627,6627,59e3941,1237839,1238173,1251412,1251512,13.239000,13.573000
50,4753,4753,5291943,1321051,1321377,1333763,1333863,12.386000,12.712000
50,6018,6018,5782940,1357051,1357377,1374043,1374143,16.666000,16.992000
50,7241,7241,5c49940,1329999,1330333,1387211,1387311,56.878000,57.212000
50,7483,7483,5d3b940,1380051,1380385,1391733,1391833,11.348000,11.682000
50,8422,8422,60e6940,1407051,1407377,1413765,1413865,6.388000,6.714000
50,7496,7496,5d48941,1395919,1396245,1419510,1419610,23.265000,23.591000
50,10989,10989,6aed942,1471051,1471385,1500169,1500269,28.784000,29.118000
50,9224,9224,6408943,1556051,1556385,1569475,1569575,13.090000,13.424000
50,8085,8085,5f95940,1649063,1649389,1671502,1671602,22.113000,22.439000
50,9295,9295,644f943,1760144,1760470,1790832,1790932,30.362000,30.688000
50,9425,9425,64d1943,2063051,2063377,2077205,2077305,13.828000,14.154000
51,274,274,4112943,23051,23385,42440,42540,19.055000,19.389000
51,582,582,4246940,35051,35377,53984,54084,18.607000,18.933000
51,871,871,4367943,114051,114377,122846,122946,8.469000,8.795000
51,412,412,419c940,140051,140385,156866,156966,16.481000,16.815000
51,1209,1209,44b9942,148051,148385,174844,174944,26.459000,26.793000
51,884,884,4374941,181016,181342,199455,199555,18.113000,18.439000
51,1130,1130,446a940,193051,193385,212762,212862,19.377000,19.711000
51,1495,1495,45d7940,235254,235580,241756,241856,6.176000,6.502000
51,2307,2307,4903943,244565,244899,272451,272551,27.552000,27.886000
51,368,368,4170940,273051,273385,292744,292844,19.359000,19.693000
51,2997,2997,4bb5940,249051,249377,328167,328267,78.790000,79.116000
51,2429,2429,497d941,364051,364385,450912,451012,86.527000,86.861000
51,1354,1354,454a940,448051,448385,455445,455545,7.060000,7.394000
51,2089,2089,4829941,417051,417385,460962,461062,43.577000,43.911000
51,3711,3711,4e7f941,413984,414318,465813,465913,51.495000,51.829000
51,3079,3079,4c07942,473241,473575,482091,482191,8.516000,8.850000
51,2584,2584,4a18941,449438,449772,495061,495161,45.289000,45.623000
51,3727,3727,4e8f940,440051,440385,500752,500852,60.367000,60.701000
51,2034,2034,47f2940,505051,505377,572478,572578,67.101000,67.427000
51,3021,3021,4bcd942,582973,583299,594495,594595,11.196000,11.522000
51,2447,2447,498f941,594051,594377,629305,629405,34.928000,35.254000
51,3507,3507,4db3941,518865,519191,673317,673417,154.126000,154.452000
51,3378,3378,4d32942,685051,685385,697389,697489,12.004000,12.338000
51,3619,3619,4e23943,769051,769385,780620,780720,11.235000,11.569000
51,6152,6152,5808942,788051,788385,808489,808589,20.104000,20.438000
51,7177,7177,5c09942,801051,801385,813260,813360,11.875000,12.209000
51,5018,5018,539a941,808051,808377,817921,818021,9.544000,9.870000
51,3319,3319,4cf7942,802051,802385,823447,823547,21.062000,21.396000
