port,pkt_seq,original_event_id,tail_flit,head_inject_req_ps,head_ingress_ack_ps,tail_egress_req_ps,tail_capture_ps,per_dest_latency_ns,tmax_component_ns
38,313,313,4139962,3925051,3925385,3937443,3937543,12.058000,12.392000
38,341,341,4155961,4792051,4792385,4804349,4804449,11.964000,12.298000
38,322,322,4142962,5155051,5155377,5167367,5167467,11.990000,12.316000
39,205,205,40cd960,130051,130384,142371,142471,11.987000,12.320000
39,306,306,4132960,142051,142385,154700,154800,12.315000,12.649000
39,70,70,4046961,294051,294385,302942,303042,8.557000,8.891000
39,176,176,40b0963,339051,339385,347894,347994,8.509000,8.843000
39,99,99,4063962,379051,379385,385788,385888,6.403000,6.737000
39,292,292,4124960,383051,383385,395350,395450,11.965000,12.299000
39,146,146,4092961,386044,386370,401205,401305,14.835000,15.161000
39,126,126,407e961,405051,405385,417295,417395,11.910000,12.244000
39,134,134,4086961,444051,444385,452791,452891,8.406000,8.740000
39,88,88,4058963,601051,601385,609825,609925,8.440000,8.774000
39,294,294,4126962,730051,730377,736764,736864,6.387000,6.713000
39,108,108,406c962,793051,793385,801847,801947,8.462000,8.796000
39,183,183,40b7962,856051,856385,866700,866800,10.315000,10.649000
39,186,186,40ba962,885051,885385,902500,902600,17.115000,17.449000
39,66,66,4042961,896051,896385,909588,909688,13.203000,13.537000
39,53,53,4035961,1012051,1012385,1020821,1020921,8.436000,8.770000
39,106,106,406a962,1010051,1010385,1026700,1026800,16.315000,16.649000
39,270,270,410e961,1052051,1052385,1064378,1064478,11.993000,12.327000
39,241,241,40f1963,1063051,1063377,1071966,1072066,8.589000,8.915000
39,81,81,4051961,1067051,1067385,1077709,1077809,10.324000,10.658000
39,42,42,402a962,1077051,1077385,1089411,1089511,12.026000,12.360000
39,269,269,410d962,1106051,1106377,1118312,1118412,11.935000,12.261000
39,232,232,40e8962,1113051,1113377,1124161,1124261,10.784000,11.110000
39,114,114,4072962,1175051,1175377,1183815,1183915,8.438000,8.764000
39,290,290,4122960,1177051,1177377,1189607,1189707,12.230000,12.556000
39,231,231,40e7963,1261051,1261385,1273383,1273483,11.998000,12.332000
39,24,24,4018962,1335051,1335385,1343852,1343952,8.467000,8.801000
39,100,100,4064960,1398051,1398385,1406822,1406922,8.437000,8.771000
39,40,40,4028962,1456051,1456385,1464944,1465044,8.559000,8.893000
39,339,339,4153961,1482051,1482385,1490960,1491060,8.575000,8.909000
39,243,243,40f3961,1495051,1495377,1507381,1507481,12.004000,12.330000
39,393,393,4189962,1580051,1580385,1592389,1592489,12.004000,12.338000
39,385,385,4181963,1664051,1664385,1672981,1673081,8.596000,8.930000
39,258,258,4102963,1668051,1668377,1680377,1680477,12.000000,12.326000
39,257,257,4101962,1679051,1679377,1687934,1688034,8.557000,8.883000
39,191,191,40bf963,1702051,1702377,1714400,1714500,12.023000,12.349000
39,207,207,40cf960,1928051,1928377,1940259,1940359,11.882000,12.208000
39,308,308,4134960,1949051,1949377,1957825,1957925,8.448000,8.774000
39,285,285,411d961,1977051,1977377,1989369,1989469,11.992000,12.318000
39,10,10,400a960,1993051,1993385,1999680,1999780,6.295000,6.629000
39,37,37,4025962,2045051,2045385,2057343,2057443,11.958000,12.292000
39,195,195,40c3962,2142051,2142377,2154356,2154456,11.979000,12.305000
39,387,387,4183962,2306051,2306377,2312783,2312883,6.406000,6.732000
39,378,378,417a960,2309051,2309385,2318501,2318601,9.116000,9.450000
39,307,307,4133962,2477051,2477377,2489419,2489519,12.042000,12.368000
39,282,282,411a961,2598051,2598385,2606850,2606950,8.465000,8.799000
39,250,250,40fa962,2728051,2728385,2736864,2736964,8.479000,8.813000
39,300,300,412c961,3134051,3134377,3142938,3143038,8.561000,8.887000
39,46,46,402e961,3195051,3195385,3207397,3207497,12.012000,12.346000
39,280,280,4118962,3318051,3318385,3330397,3330497,12.012000,12.346000
39,51,51,4033962,3423051,3423385,3435349,3435449,11.964000,12.298000
39,148,148,4094960,3450051,3450377,3462364,3462464,11.987000,12.313000
39,198,198,40c6960,3550051,3550377,3558912,3559012,8.535000,8.861000
39,336,336,4150960,3903051,3903385,3909701,3909801,6.316000,6.650000
39,313,313,4139962,3925051,3925385,3937443,3937543,12.058000,12.392000
39,237,237,40ed962,4200051,4200385,4212347,4212447,11.962000,12.296000
39,341,341,4155961,4792051,4792385,4804400,4804500,12.015000,12.349000
39,322,322,4142962,5155051,5155377,5167368,5167468,11.991000,12.317000
39,360,360,4168963,5809051,5809377,5817837,5817937,8.460000,8.786000
40,205,205,40cd960,130051,130384,138930,139030,8.546000,8.879000
40,306,306,4132960,142051,142385,158218,158318,15.833000,16.167000
40,70,70,4046961,294051,294385,306394,306494,12.009000,12.343000
40,176,176,40b0963,339051,339385,351415,351515,12.030000,12.364000
40,99,99,4063962,379051,379385,391369,391469,11.984000,12.318000
40,292,292,4124960,383051,383385,397238,397338,13.853000,14.187000
40,146,146,4092961,386044,386370,403047,403147,16.677000,17.003000
40,126,126,407e961,405051,405385,411691,411791,6.306000,6.640000
40,134,134,4086961,444051,444385,456316,456416,11.931000,12.265000
40,88,88,4058963,601051,601385,613324,613424,11.939000,12.273000
40,294,294,4126962,730051,730377,743189,743289,12.812000,13.138000
40,108,108,406c962,793051,793385,805366,805466,11.981000,12.315000
40,183,183,40b7962,856051,856385,870088,870188,13.703000,14.037000
40,186,186,40ba962,885051,885385,898912,899012,13.527000,13.861000
40,66,66,4042961,896051,896385,904906,905006,8.521000,8.855000
40,106,106,406a962,1010051,1010385,1018889,1018989,8.504000,8.838000
40,53,53,4035961,1012051,1012385,1024788,1024888,12.403000,12.737000
40,270,270,410e961,1052051,1052385,1060800,1060900,8.415000,8.749000
40,241,241,40f1963,1063051,1063377,1075398,1075498,12.021000,12.347000
40,81,81,4051961,1067051,1067385,1081296,1081396,13.911000,14.245000
40,42,42,402a962,1077051,1077385,1087054,1087154,9.669000,10.003000
40,269,269,410d962,1106051,1106377,1114774,1114874,8.397000,8.723000
40,232,232,40e8962,1113051,1113377,1125434,1125534,12.057000,12.383000
40,114,114,4072962,1175051,1175377,1187325,1187425,11.948000,12.274000
40,290,290,4122960,1177051,1177377,1193086,1193186,15.709000,16.035000
40,231,231,40e7963,1261051,1261385,1267796,1267896,6.411000,6.745000
40,24,24,4018962,1335051,1335385,1350337,1350437,14.952000,15.286000
40,100,100,4064960,1398051,1398385,1410360,1410460,11.975000,12.309000
40,40,40,4028962,1456051,1456385,1468340,1468440,11.955000,12.289000
40,339,339,4153961,1482051,1482385,1494397,1494497,12.012000,12.346000
40,243,243,40f3961,1495051,1495377,1503821,1503921,8.444000,8.770000
40,393,393,4189962,1580051,1580385,1588831,1588931,8.446000,8.780000
40,258,258,4102963,1668051,1668377,1674794,1674894,6.417000,6.743000
40,385,385,4181963,1664051,1664385,1680511,1680611,16.126000,16.460000
40,257,257,4101962,1679051,1679377,1691387,1691487,12.010000,12.336000
40,191,191,40bf963,1702051,1702377,1710934,1711034,8.557000,8.883000
40,207,207,40cf960,1928051,1928377,1936895,1936995,8.518000,8.844000
40,308,308,4134960,1949051,1949377,1961277,1961377,11.900000,12.226000
40,285,285,411d961,1977051,1977377,1985839,1985939,8.462000,8.788000
40,10,10,400a960,1993051,1993385,2009871,2009971,16.486000,16.820000
40,37,37,4025962,2045051,2045385,2053963,2054063,8.578000,8.912000
40,195,195,40c3962,2142051,2142377,2150826,2150926,8.449000,8.775000
40,387,387,4183962,2306051,2306377,2318335,2318435,11.958000,12.284000
40,378,378,417a960,2309051,2309385,2324226,2324326,14.841000,15.175000
40,307,307,4133962,2477051,2477377,2485963,2486063,8.586000,8.912000
40,282,282,411a961,2598051,2598385,2610374,2610474,11.989000,12.323000
40,250,250,40fa962,2728051,2728385,2740358,2740458,11.973000,12.307000
40,300,300,412c961,3134051,3134377,3146353,3146453,11.976000,12.302000
40,46,46,402e961,3195051,3195385,3203944,3204044,8.559000,8.893000
40,280,280,4118962,3318051,3318385,3324776,3324876,6.391000,6.725000
40,51,51,4033962,3423051,3423385,3431865,3431965,8.480000,8.814000
40,148,148,4094960,3450051,3450377,3458761,3458861,8.384000,8.710000
40,198,198,40c6960,3550051,3550377,3562353,3562453,11.976000,12.302000
