nodes,topology,mode,traffic,offered_mflit_s_per_port,metric,value,value_unit,eligibility,source_file,source_design,source_case,source_run_id
64,PROP,UR (Async),UR,3.672047,mean_flit_latency,6.20785034,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,6.823978,mean_flit_latency,6.3815734,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,14.846452,mean_flit_latency,6.733243880000001,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,31.804674,mean_flit_latency,7.53988998,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,44.740007,mean_flit_latency,8.3609451,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,58.398116,mean_flit_latency,9.24290126,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,75.731873,mean_flit_latency,10.32558428,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,86.892448,mean_flit_latency,11.34338514,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,102.660972,mean_flit_latency,12.033034879999999,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,127.03252,mean_flit_latency,14.097142439999999,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,144.568838,mean_flit_latency,14.76297528,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m180_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,177.315025,mean_flit_latency,20.43886222,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m240_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,199.247641,mean_flit_latency,24.905922200000003,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m280_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,204.141625,mean_flit_latency,21.797584160000003,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m260_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,226.383657,mean_flit_latency,28.377622480000003,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m300_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,230.729474,mean_flit_latency,38.717402119999996,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m340_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,236.384266,mean_flit_latency,33.72061274,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m320_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,266.729259,mean_flit_latency,54.09876902,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m360_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Async),UR,302.224371,mean_flit_latency,95.06044551999999,ns,paired near-lossless latency,64/01_ur/pre_saturation_latency_accepted.csv,PROP_temp64,TOPO-UR_n64_s202701_m420_PROP_temp64_top16,20260913_prop_temp64_asap_uc_m5_200
64,PROP,UR (Sync),UR,3.672064111301732,mean_flit_latency,8.48221232,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m5_PROP_temp64_top16,
64,PROP,UR (Sync),UR,6.824038083591737,mean_flit_latency,8.66694226,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m10_PROP_temp64_top16,
64,PROP,UR (Sync),UR,14.846734193572908,mean_flit_latency,9.07484268,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m20_PROP_temp64_top16,
64,PROP,UR (Sync),UR,31.8059683263445,mean_flit_latency,10.131322280000001,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m40_PROP_temp64_top16,
64,PROP,UR (Sync),UR,44.74256915411488,mean_flit_latency,11.12736448,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m60_PROP_temp64_top16,
64,PROP,UR (Sync),UR,58.402481871869625,mean_flit_latency,12.10051798,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m80_PROP_temp64_top16,
64,PROP,UR (Sync),UR,75.73921473582162,mean_flit_latency,13.34951244,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m100_PROP_temp64_top16,
64,PROP,UR (Sync),UR,86.90211345939933,mean_flit_latency,14.77123448,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,
64,PROP,UR (Sync),UR,102.67446444999342,mean_flit_latency,15.782633319999999,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,
64,PROP,UR (Sync),UR,127.05317937876077,mean_flit_latency,17.501108079999998,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,
64,PROP,UR (Sync),UR,144.5955950397927,mean_flit_latency,19.215517180000003,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m180_PROP_temp64_top16,
64,PROP,UR (Sync),UR,177.35527809307604,mean_flit_latency,24.70658928,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m240_PROP_temp64_top16,
64,PROP,UR (Sync),UR,199.2984693877551,mean_flit_latency,28.79326806,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m280_PROP_temp64_top16,
64,PROP,UR (Sync),UR,204.19498170412965,mean_flit_latency,26.95127414,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m260_PROP_temp64_top16,
64,PROP,UR (Sync),UR,226.44927536231884,mean_flit_latency,34.37327296,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m300_PROP_temp64_top16,
64,PROP,UR (Sync),UR,230.7976366322009,mean_flit_latency,47.233482640000005,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m340_PROP_temp64_top16,
64,PROP,UR (Sync),UR,236.45581113801452,mean_flit_latency,37.38953764,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m320_PROP_temp64_top16,
64,PROP,UR (Sync),UR,266.82035519125685,mean_flit_latency,60.15642692,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m360_PROP_temp64_top16,
64,PROP,UR (Sync),UR,302.34133126934984,mean_flit_latency,116.86065196,ns,paired near-lossless latency,64/07_sync_b8/ur_pre_saturation_latency.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m420_PROP_temp64_top16,
64,PROP,BC,BC,3.670098,mean_flit_latency,6.6334399600000005,ns,paired near-lossless latency,64/02_benchmarks/bc_hotspot_latency_eligible.csv,PROP_temp64,TOPO-BC_n64_s202701_m5_PROP_temp64_top16_retry_csv_gate,20260913_prop_temp64_asap_uc_m5_200
