nodes,section,paper_label,x_name,x_value,load_m,delivered_mflit_s_per_port,mean_latency_ns,latency_eligible,derivation,source_file,source_design,source_case,source_run_id
256,global_ur,PROP,offered_mflit_s_per_port,49.761146496815286,90,49.75119426751592,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m90_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,57.682368576491434,100,57.67660033963379,29.16768792,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m100_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,64.99584026622296,110,64.9763415141431,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m110_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,80.94177372565271,140,80.91749119353501,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m140_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,89.34698078682526,160,89.33804608874657,69.48693784,True,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m160_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,97.07380715705766,180,97.04468501491054,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m180_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,102.79605263157895,200,102.7857730263158,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m200_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,126.41585760517799,240,126.33747977346279,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m240_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,163.44142259414227,280,149.5456328451883,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m280_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,188.16233140655106,320,154.68072615606937,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m320_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,229.50940070505288,400,153.66572414806112,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m400_PROP_temp256_m16_top0,
256,global_ur,PROP,offered_mflit_s_per_port,321.7668863261944,600,146.72570016474464,,False,offered=(measurement_delivered_flits/delivery_ratio)*1e6/(window_ps*256),256/01_global_ur/throughput_all_full_drain.csv,PROP_temp256_m16,TOPO-UR-M16-FM256_20260918_085618_prop_m16_mesh256_full_n256_s202701_m600_PROP_temp256_m16_top0,
256,locality,Mesh,locality_probability,0.24705882352941178,120,,27.23932526,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,FM256,LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_FM256_top0,
256,locality,Mesh,locality_probability,0.5,120,,16.16841596,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,FM256,LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_FM256_top0,
256,locality,Mesh,locality_probability,0.75,120,,12.67781074,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,FM256,LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_FM256_top0,
256,locality,PROP,locality_probability,0.24705882352941178,120,,38.7097957,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,PROP_temp256_m16,LOCALITY256_compact256_repair_20260918_123846_m120_p0p24705882352941178_PROP_temp256_m16_top0,
256,locality,PROP,locality_probability,0.5,120,,24.10463912,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,PROP_temp256_m16,LOCALITY256_compact256_repair_20260918_123846_m120_p0p5_PROP_temp256_m16_top0,
256,locality,PROP,locality_probability,0.75,120,,15.93129492,True,direct accepted paired mean flit latency,256/02_locality/locality_m120_paired_summary.csv,PROP_temp256_m16,LOCALITY256_compact256_repair_20260918_123846_m120_p0p75_PROP_temp256_m16_top0,
