nodes,experiment,paper_label,mode,x_name,x_value,metric,value,unit,eligibility,source_file,source_design,source_case,source_run_id
1,node_ppa,Thin,,geometry,async_thin_1x1,idle_power,0.0004689,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_thin_1x1,,20260912_205700_cmr_thin_l1_hop_rpsdel050
1,node_ppa,TopMesh,,geometry,async_topmesh_2x2,idle_power,0.001138,W,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_topmesh_2x2,,20260912_205700_cmr_topmesh_c2p2_rpsdel050
1,node_ppa,FAT,,geometry,async_fat_1x2,packet_energy,8.319222e-12,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_fat_1x2,,20260912_205700_cmr_fat_l1_hop_rpsdel050
1,node_ppa,Mesh,,geometry,async_flatmesh_1x1,packet_energy,6.579846e-12,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_flatmesh_1x1,,20260912_205700_cmr_flatmesh_c1p1_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_2x4,packet_energy,1.396756e-11,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_4x8,packet_energy,3.041888e-11,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_4x8,,20260912_205700_cmr_pfat_l3_c4p8_rpsdel050
1,node_ppa,PROP,,geometry,async_prop_2x2,packet_energy,1.199636e-11,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_prop_2x2,,20260912_205700_cmr_prop_2x2_hop_rpsdel050
1,node_ppa,Thin,,geometry,async_thin_1x1,packet_energy,6.677916e-12,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_thin_1x1,,20260912_205700_cmr_thin_l1_hop_rpsdel050
1,node_ppa,TopMesh,,geometry,async_topmesh_2x2,packet_energy,1.189136e-11,J,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_topmesh_2x2,,20260912_205700_cmr_topmesh_c2p2_rpsdel050
1,node_ppa,FAT,,geometry,async_fat_1x2,tail_hop_delay,0.746,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_fat_1x2,,20260912_205700_cmr_fat_l1_hop_rpsdel050
1,node_ppa,Mesh,,geometry,async_flatmesh_1x1,tail_hop_delay,0.521,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_flatmesh_1x1,,20260912_205700_cmr_flatmesh_c1p1_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_2x4,tail_hop_delay,0.841,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_2x4,,20260912_205700_cmr_pfat_l2_c2p4_rpsdel050
1,node_ppa,PFAT,,geometry,async_pfat_4x8,tail_hop_delay,0.96,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_pfat_4x8,,20260912_205700_cmr_pfat_l3_c4p8_rpsdel050
1,node_ppa,PROP,,geometry,async_prop_2x2,tail_hop_delay,0.819,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_prop_2x2,,20260912_205700_cmr_prop_2x2_hop_rpsdel050
1,node_ppa,Thin,,geometry,async_thin_1x1,tail_hop_delay,0.521,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_thin_1x1,,20260912_205700_cmr_thin_l1_hop_rpsdel050
1,node_ppa,TopMesh,,geometry,async_topmesh_2x2,tail_hop_delay,0.819,ns,accepted,scripts/asic_dc/cmr/results/bundles/20260913_093043_rpsdel050_paper/hop_ppa/metrics.csv,async_topmesh_2x2,,20260912_205700_cmr_topmesh_c2p2_rpsdel050
64,multicast_f16_64,Native,,load_m,20,mean_completion_latency,14.26761999999998,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Native,,load_m,5,mean_completion_latency,9.239907499999815,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Repeated,,load_m,20,mean_completion_latency,287.7258475,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Repeated,,load_m,5,mean_completion_latency,148.60242249999976,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Native,,load_m,20,useful_delivery_throughput,20.866093099499547,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m20_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Native,,load_m,5,useful_delivery_throughput,5.514670401936752,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F16_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Repeated,,load_m,20,useful_delivery_throughput,20.164152331298634,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m20_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
64,multicast_f16_64,Repeated,,load_m,5,useful_delivery_throughput,5.483182421531273,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F16_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f16_main
64,multicast_fanout64_m5,Native,,fanout,2,mean_completion_latency,8.32758499999979,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F2_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_fanout_m5
64,multicast_fanout64_m5,Native,,fanout,32,mean_completion_latency,9.466347499999795,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F32_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f32_probe_m5
64,multicast_fanout64_m5,Repeated,,fanout,2,mean_completion_latency,15.590372499999804,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F2_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_fanout_m5
64,multicast_fanout64_m5,Repeated,,fanout,32,mean_completion_latency,402.35863499999977,ns,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F32_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f32_probe_m5
64,multicast_fanout64_m5,Native,,fanout,2,useful_delivery_throughput,0.8109819148437847,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F2_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_fanout_m5
64,multicast_fanout64_m5,Native,,fanout,32,useful_delivery_throughput,13.064652654652498,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,native,MC-REGION-F32_n64_s202701_m5_PROP_temp64_top16,20260914_prop_temp64_mc_f32_probe_m5
64,multicast_fanout64_m5,Repeated,,fanout,2,useful_delivery_throughput,0.8106213970716075,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F2_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_fanout_m5
64,multicast_fanout64_m5,Repeated,,fanout,32,useful_delivery_throughput,12.883722344445802,Mdelivery/s,accepted,64/04_multicast/clean_fanout_400tx.csv,source_repeated_unicast,MC-REGION-F32_n64_s202701_m5_source_repeated_unicast_top16,20260914_prop_temp64_mc_f32_probe_m5
64,network_area,FAT,,configuration,FAT,area,300934.86952,um^2,accepted,64/05_ppa_power/table64_i_network.csv,PFAT64,,20260915_080229_cmr_pfat64_rpsdel050_1248
64,network_area,Mesh,,configuration,Mesh,area,469899.020724,um^2,accepted,64/05_ppa_power/table64_i_network.csv,FlatMesh64,,20260913_104506_cmr_fm64_rpsdel150
64,network_area,PROP,,configuration,PROP,area,520533.044158,um^2,accepted,64/05_ppa_power/table64_i_network.csv,Full PROP,,20260913_prop_temp64_asap_uc_m5_200
64,network_area,Sync,,configuration,Sync,area,466318.60369,um^2,accepted,64/05_ppa_power/table64_i_network.csv,Sync B8,,20260915_231600_sync_prop_temp64_b8_dc
64,network_power,FAT,,result_id,pfat_m100,energy_per_delivered_flit,10.70907890789079,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,PFAT64,,20260915_080229_cmr_pfat64_rpsdel050_1248
64,network_power,Mesh,,result_id,flatmesh_m100,energy_per_delivered_flit,15.166036603660368,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,FM64,,20260913_104506_cmr_fm64_rpsdel150
64,network_power,PROP,,result_id,dynamic_common_high,energy_per_delivered_flit,8.034983498349836,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,PROP,,result_id,prop_m100,energy_per_delivered_flit,13.35023902390239,pJ/flit,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
64,network_power,Sync,,result_id,sync_common_high,energy_per_delivered_flit,16.62838283828383,pJ/flit,accepted,64/07_sync_b8/power_accepted.csv,SYNC_PROP_temp64_B8,,
64,network_power,Sync,,result_id,sync_m100,energy_per_delivered_flit,58.66264226422643,pJ/flit,accepted,64/07_sync_b8/power_accepted.csv,SYNC_PROP_temp64_B8,,
64,network_power,PROP,,result_id,f16_native_m5,energy_per_useful_delivery,101.71788203125001,pJ/delivery,accepted,64/05_ppa_power/network_power_async_accepted.csv,PROP_temp64,,20260913_prop_temp64_asap_uc_m5_200
