section,paper_label,x_value,x_unit,metric,value,physical_class,source_file,source_design,source_case,source_run_id
async_sync_throughput,Sync,86.90211345939933,Mflit/s/port,delivered_mflit_s_per_port,86.8934232480534,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m120_PROP_temp64_top16,
async_sync_throughput,Sync,102.67446444999342,Mflit/s/port,delivered_mflit_s_per_port,102.66419700354842,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m140_PROP_temp64_top16,
async_sync_throughput,Sync,127.05317937876077,Mflit/s/port,delivered_mflit_s_per_port,127.0404740608229,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m160_PROP_temp64_top16,
async_sync_throughput,Sync,144.5955950397927,Mflit/s/port,delivered_mflit_s_per_port,144.58113548028874,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m180_PROP_temp64_top16,
async_sync_throughput,Sync,153.63815142576203,Mflit/s/port,delivered_mflit_s_per_port,153.57976892822026,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m200_PROP_temp64_top16,
async_sync_throughput,Sync,168.55447680690398,Mflit/s/port,delivered_mflit_s_per_port,168.5207659115426,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m220_PROP_temp64_top16,
async_sync_throughput,Sync,177.35527809307604,Mflit/s/port,delivered_mflit_s_per_port,177.33754256526674,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m240_PROP_temp64_top16,
async_sync_throughput,Sync,199.2984693877551,Mflit/s/port,delivered_mflit_s_per_port,199.27853954081633,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m280_PROP_temp64_top16,
async_sync_throughput,Sync,204.19498170412965,Mflit/s/port,delivered_mflit_s_per_port,204.17456220595923,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m260_PROP_temp64_top16,
async_sync_throughput,Sync,226.44927536231884,Mflit/s/port,delivered_mflit_s_per_port,226.4266304347826,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m300_PROP_temp64_top16,
async_sync_throughput,Sync,230.7976366322009,Mflit/s/port,delivered_mflit_s_per_port,230.77455686853767,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m340_PROP_temp64_top16,
async_sync_throughput,Sync,236.45581113801452,Mflit/s/port,delivered_mflit_s_per_port,236.4321655569007,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m320_PROP_temp64_top16,
async_sync_throughput,Sync,266.82035519125685,Mflit/s/port,delivered_mflit_s_per_port,266.78300034153006,post-synthesis MAXIMUM-SDF,64/07_sync_b8/ur_all_full_drain.csv,SYNC_PROP_temp64_B8,TOPO-UR_n64_s202701_m360_PROP_temp64_top16,
